id,title,tag1,tag2,tag3,date,time,mins,loc,pid1,people1,pid2,people2,pid3,people3,pid4,people4,pid5,people5,pid6,people6,desc
26,The Affective Tutor,Paper,Session 1C,,2014-04-25,14:30,25,Slavin Center Room LL 03,25,Timothy Hickey,26,William Tarimo,,,,,,,,,
27,A Game Programming Instructional Design Model,Paper,Session 1C,,2014-04-25,14:55,25,Slavin Center Room LL 03,27,Penn Wu,,,,,,,,,,,
28,The Human Computer,Paper,Session 1C,,2014-04-25,15:20,25,Slavin Center Room LL 03,28,Christopher Stuetzle,,,,,,,,,,,
29,Break,Break,,,2014-04-25,15:45,30,Slavin Center outside '64 Hall,,,,,,,,,,,,,
30,Paper Session 2A: Special Topics,Paper,Session 2A,,2014-04-25,16:15,75,Slavin Center Room LL 01,29,Daniel Rogers (Session Chair),,,,,,,,,,,
31,A Cryptographic Sandbox for an Introductory Security Course in Information Security,Paper,Session 2A,,2014-04-25,16:15,25,Slavin Center Room LL 01,30,Michael Jonas,,,,,,,,,,,
32,An Introduction to Event-Based Programing in App Inventor,Paper,Session 2A,,2014-04-25,16:40,25,Slavin Center Room LL 01,7,Franklyn Turbak,9,Mark Sherman,31,Fred Martin,32,David Wolber,8,Shaileen Pokress,,,
33,Tutorial Session 2B: NetLogo and Multi-Agent Simulation (In Introductory Computer Science),Tutorial,Session 2B,,2014-04-25,16:15,75,Slavin Center Room 112,43,Matthew Dickerson,,,,,,,,,,,
34,Tutorial Session 2C: 3D Printing - Why All the Fuss? Assembly Process and Demonstration,Tutorial,Session 2C,,2014-04-25,16:15,75,Slavin Center Room LL 03,33,Greg Pleva,,,,,,,,,,,
35,Social Hour,Social Hour,,,2014-04-25,17:30,90,Slavin Center and outside McPhail's,,,,,,,,,,,,,
36,Faculty Posters & Reception,Poster,,,2014-04-25,17:30,90,Slavin Center and outside McPhail's,,,,,,,,,,,,,
37,Student Posters,Poster,,,2014-04-25,17:30,90,Slavin Center and outside McPhail's,,,,,,,,,,,,,
38,Dinner Banquet,Banquet,,,2014-04-25,19:00,120,Slavin Center '64 Hall,,,,,,,,,,,,,
39,Presentation of Awards for Programming Contest and Student Posters,Awards,,,2014-04-25,19:00,120,Slavin Center '64 Hall,,,,,,,,,,,,,
40,Registration and hospitalities,Registration,,,2014-04-26,07:30,150,Slavin Center outside '64 Hall,,,,,,,,,,,,,
41,Computer Science Curricula for the Coming Decade,Plenary,,,2014-04-26,09:00,60,Slavin Center '64 Hall,34,Mehran Sahami,,,,,,,,,,,
42,Papers Session 3A: Upper-Level Courses,Paper,Session 3A,,2014-04-26,10:00,75,Slavin Center Room LL 01,35,Adrian Ionescu (Session Chair),,,,,,,,,,,
43,A Project-based Curriculum for Algorithmic Design and Intractability Centered on the Traveling Salesman Problem,Paper,Session 3A,,2014-04-26,10:00,25,Slavin Center Room LL 01,36,Andrea Lobo,37,Ganesh Baliga,,,,,,,,,
44,Discovering the Java Reflection API with an Iterated Prisoner's Dilemma,Paper,Session 3A,,2014-04-26,10:25,25,Slavin Center Room LL 01,38,Drue Coles,,,,,,,,,,,
45,Evil Robots and Helpful Droids: A Seminar for a Junior/Senior Artificial Intelligence Course,Paper,Session 3A,,2014-04-26,10:50,25,Slavin Center Room LL 01,39,Lisa Michaud,,,,,,,,,,,
46,Tutorial 3B: Board Game Strategies as an Intro CS Project,Tutorial,Session 3B,,2014-04-26,10:00,75,Slavin Center Room 112,40,James Heliotis,41,Ivona Bezakova,42,Sean Strout,,,,,,,
47,Panel 3C: NSF-Sponsored Innovative Approaches to Undergraduate Computer Science,Panel,Session 3C,,2014-04-26,10:00,75,Slavin Center Room 112,43,Matthew Dickerson,44,Stephen Bloch,45,Peter DePasquale,46,Amruth Kumar,47,Stan Kurkovsky,48,Clif Kussmaul,
48,Break,Break,,,2014-04-26,11:15,15,Slavin Center outside '64 Hall,,,,,,,,,,,,,
49,Paper and Demo Session 4A: Teaching Tools,Paper,Demo,Session 4A,2014-04-26,11:30,75,Slavin Center Room LL 01,49,Yana Kortsarts (Session Chair),,,,,,,,,,,
50,Come Code with Codester: An Educational App That Teaches Computer Science to K-12 Students,Paper,,Session 4A,2014-04-26,11:30,25,Slavin Center Room LL 01,50,Darren Lim,50,Gili Rusak,,,,,,,,,
51,A New Browser-based C Programming Environment for CS1,Paper,,Session 4A,2014-04-26,11:55,25,Slavin Center Room LL 01,51,Derrell Lipman,,,,,,,,,,,
52,Demo: Using Auto-Generated Materials to Facilitate Instructors' Offline Preparation Time and Improve Students' Learning Outcomes,Demo,,Session 4A,2014-04-26,12:20,25,Slavin Center Room LL 01,52,Duo (Helen) Wei,,,,,,,,,,,
53,Tutorial Session 4B: Python as a First Programming Language,Tutorial,Session 4B,,2014-04-26,11:30,75,Slavin Center Room 112,54,Charles Dierbach,,,,,,,,,,,
54,Tutorial Session 4C: Let's Start Flipping the Classroom,Tutorial,Session 4C,,2014-04-26,11:30,75,Slavin Center Room LL 03,17,Namita Sarawagi,,,,,,,,,,,
55,Membership Meeting,Meeting,,,2014-04-26,13:30,30,Slavin Center Room LL 19,,,,,,,,,,,,,
56,Board Meeting,Meeting,,,2014-04-26,14:00,120,Slavin Center Room LL 19,,,,,,,,,,,,,
